ID,Current Place Name,Current Place Lat,Current Place Long,Place of interest Name,Place of interest Lat,Place of interest Long,Food you like most,Leisure time activity ,Future plan,Typically your days are started at:
151341027.0,Modhubag,23.760223,90.41156099999999,Bandarban,21.8311,92.368632,Regular Food,Sleeping,Don't have,12:00 PM
151341015.0,Kafrul,23.70731,90.415482,Sunamganj,25.04561,91.387138,Regular Food,Sports,Don't have,10:00 AM
151341028.0,Mirpur 6,23.814654,90.362371,Bandarban,22.19534,92.21946,Regular Food,Sports,Don't have,10:00 AM
151341017.0,Tajgaon,23.7598,90.3913,Darjeeling,27.036,88.2627,Fast Food,Reading Books,Don't have,10:00 AM
151341011.0,Mugda,23.729556,90.429214,Cox's Bazar,21.439138,91.967015,Regular Food,Watching movie,Don't have,11:00 AM
151341014.0,Bijoy Sarani,23.761888,90.39084100000001,Canada,43.70011,-79.4163,Fast Food,Watching TV Series,Data Scientist,12:00 PM
151341005.0,Bashabo,23.70731,90.415482,Switzerland,46.547513,7.985291,Chinese,Playing Violine,Software Developer,8:00 AM
151341009.0,East Rampura,23.708022,90.417885,Mount Everest,27.988121,86.924973,Chinese food,Reading Books,Higher Study,11:00 AM
151341022.0,Mohanogor Project ,23.7676,90.4147,Sajek,23.382,92.2938,Fast Food,Watching movie,Don't have,11:00 AM
151341029.0,Segunbagicha,23.732597600000002,90.4025838,Spain,40.463669,-3.74922,Mix Food, watching movie and anime,give own IT Farm,10:30 AM
151341010.0,Farmgate,23.756106699999997,90.38719609999998,Sunamganj,25.04561,91.387138,Regular Food,Watching movie,Web Developer,8:00 AM
151341020.0,Mirpur 60 Feet,23.790579,90.365308,Meghalaya,25.572491,91.31076,Kacchi Biriyani,Playing games and watching Movies,Higher Study,9.30 Am
151341012.0,Zigatola,23.738078,90.372485,Cox's Bazar,21.43392,91.98703,Regular Food,Sports,Don't have,9:00 AM
151341021.0,Rayerbag,23.693846,90.455336,China,34.626036,103.649834,Regular Food,"TV Series, Documentaries",Higher Study,10.00 AM
151341019.0,Shyamoli,23.7718,90.3631,Sylhet,24.8949,91.8687,Regular Food,Sports,Don't have,9:00 AM
151340921.0,Tejgaon,23.70731,90.41548,saint martin,49.435532,-2.56735,Alu Vorta,playing game,Higher Studies,10.00.00 AM
151340923.0,Siddheshwari,23.744602,90.411456,Cox's Bazar,21.426979,91.971179,Pasta,Watching Movies & TV-Series,Higher Studies,9:30 AM
151340925.0,Maniknagar,23.721389399999996,90.42992790000001,My Room,23.7213894,90.4299279,Cashew nut,Traversing Foreign Universities,PhD,6:30 AM
151340926.0,Maniknagar,23.722595000000002,90.429585,Sylhet,24.8949,91.8687,Cashew nut,Photography,Software Developer,9:00 AM
151340927.0,Mirpur-12,23.70731,90.41548,Khulna,22.84193,89.55806,Spicy food,Movie,Teacher,8:00 AM
151340928.0,Mirpur,23.80708505,90.36861281,Shylet,24.82583106,91.71749383,Biriyani,Gaming,Software Developer,9:30
151340930.0,Motijheel,23.70731,90.415482,Sajek Valley,22.343038,91.84274,Porota Dalbhaji,Twitch live Streaming,Software Developer,6:00 AM
151340931.0,Hazaribagh,23.727835,90.37404599999999,Sylhet,24.894802,91.869034,Biriyani,Watching youtube,Software Developer,9:00 AM
151340932.0,Tejgaon,23.7636971,90.37069059999999,Gopalganj,23.0894363,89.6212662,Grill & Nun,Watching Movie,Full Stack Developer,9:00 AM
151340933.0,Rampura,23.70731,90.41548,Sajek Valley,22.33037,91.83263,Beef,Watching anime,Database Analyst,10:00 AM
151340934.0,Rampura,23.70731,90.41548,Bandarban,21.8311,92.368629,Biriyani,Playing online game,Network Specialist,10:00 AM
151340935.0,Gulshan 1,23.7786,90.4156,Khulna,22.8092° N,89.5697° E,Any well cooked food,Nothing fixed,Software Developer,9:00 AM
151340937.0,Mirpur-1,23.7956,90.3537,Sajek Valley,23.4056° N,92.2793° E,Spicy Food,Watching Movies & Series,Software Developer,11:00 AM
151340939.0,Malibagh,23.758353,90.416229,Sylhet,24.89493,91.868706,Burger,Facebooking,Web Developer,11:00 AM
151340941.0,Niketon,23.797911,90.41439100000001,Gazipur,24.0958,90.4125,Spicy food,Cooking,Not decided yet,10.00 AM
151340942.0,Shantinagar,23.7382,90.4143,Sylhet,24.8949° N,91.8687° E,Italian,spending time with  pet pigeons,Data Scientist,6:30 AM
151340943.0,Mohakhali,23.780232,90.40114799999999,Saint Martins,20.631618,92.320892,Fast food,Watching Football and TV Series,Database Analyst,9:00 AM
151340944.0,Kathalbagan,23.746188,90.38987,Saint Martins,20.631618,92.320892,Beef curry with curds,"Gaming, watching football, cricket matches",Full Stack Developer,10:00 AM
151340945.0,Panthapath,23.751791,90.385936,Saint Martins,20.631618,92.320892,Biriyani,"Watching Cricket,Movies",Software Developer,10:00 AM
151340946.0,Mirpur-10,23.80708505,90.36861281,Cox's Bazar,39.059479,-80.873016,Luchi Dalvaji,spending timme with family members,Software Developer,5:00 AM
151340947.0,Dhaka Cantonment,26.78293,82.1501,Cox's Bazar,39.059479,-80.873016,Chicken ,Watching TV,Software Developer,10:30 AM
