,Current Place,,,Place of interest,,,Food you like most,Leisure time activity,Future plan,Typically your days are started at:,Academic Result,Co-curricular Activities,Skill,Number of Achievement,Physical Exercise,Higher Study
,Name,Latitude,Longitude,Name,Latitude,Longitude,,,,,,,,,,
151341043,Siddeshwari,23.70731,90.41548,New York,40.712776,-74.005974,Nothing Specific,Cricket,Higher Study,LR,2.8,None,Web Development,2,Yes,Yes
141440945,Dhanmondi,23.741067,90.364753,Columbia,36.133583,-95.951584,Nothing specific,Movies,Higher Study,LR,3.36,None,None,1,Yes,Yes
151341040,Niketon,23.77195,90.410318,Barcelona,41.385063,2.173404,Anything if cooked perfectly,Reading Books,Machine Learning Research,LR,3.65,None,Android,3,Yes,Yes
151341045,Wireless Gate,23.7822038,90.4086827,Times Square,40.759,73.9845,Cheesecake,Music,Higher Study,LR,3.08,None,None,5,Yes,Yes
141440962,Rajarbag,23.742991,90.416032,Makkah,21.389082,39.85791,Beef,Reading,Higher Study,ER,3.33,Club committee,None,1,Yes,Yes
151341037,Mohakhali,23.781866,90.397428,Silicon Valley,37.334789,-121.888138,Biriyani,Online Games,Aerospace Engineer,LR,3.16,Club committee,Web Development,1,No,Yes
151341044,Modhubag,23.75124,90.409029,Makkah,21.38908,39.85791,Prawn and Elish,Teach Student,BCS Cadre,ER,2.97,None,Web Development,1,No,Yes
151341038,Siddeshwari,23.70731,90.415482,Paris,48.856613,2.352222,Nothing specific,Painting,Higher Study,LR,3.18,None,Java,3,Yes,Yes
151341039,Niketon,23.772723,90.407411,Florence,43.769562,11.255814,Pasta,Gaming,Game Development,LR,2.8,None,Web Development,2,No,No
131440969,Niketan Bazar,28.35018,77.28774,Niagara Falls,43.082817,-79.074165,Biriyani,Movies,Higher Study,LR,3.36,None,Java,1,Yes,Yes
151341036,North Road,23.743926,90.387736,phuket,7.951933,98.338089,waffle,Movies,Higher Study,LR,3.65,Club committee,Android,3,No,Yes
141440899,Mohakhali DOHS,23.78286,90.395439,Canada,56.130367,-106.346771,Pasta,Reading Books,Higher Study,LR,3.18,Club committee,Java,5,No,Yes
131440899,Mirbag,16.98092,54.687531,Switzerland,46.818188,8.227512,Coffee,Hangout,Any Job,ER,3.07,None,Networking,1,Yes,Yes
131440910,Modhubag,23.757242,90.412399,Paris,48.856613,2.352222,Pizza,sketch,Graphic Design,LR,3.35,None,Android,1,No,Yes
141340960,Tongi,23.9114848,90.398316,Australia,-25.274399,133.775131,Biriyani,Online Games,Entrepreneurship,LR,3.25,None,Java,1,No,No
141340900,modhubag,23.757243,90.412399,New York,40.712776,-74.005974,Biriyani,Watching cricket,Any job,ER,2.67,None,Java,1,Yes,No
